,Æ¯ÇãÁ¦¸ñ,Æ¯ÇãÄÚµå,Àû¿ë±¹°¡,Inventor,assignee,google patent link,Ãâ¿ø³¯Â¥,pdf link,ÀÎ¿ëÈ½¼ö
7819,"
  Autonomous vehicle train
",DE102020207960A1,"EP, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102020207960A1/en,2021-12-30,https://patentimages.storage.googleapis.com/e3/87/db/2738b4a0cd3dd6/DE102020207960A1.pdf,5
7820,"
  Method for detecting unintentional operation of a control device in an at least partially autonomous motor vehicle
",DE102019206981A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019206981A1/en,2020-11-19,https://patentimages.storage.googleapis.com/2d/7b/9a/fd46e641009f6c/DE102019206981A1.pdf,6
7821,"
  Motor vehicle
",DE102018218845A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018218845A1/en,2020-05-07,https://patentimages.storage.googleapis.com/2f/a2/f0/8182f81530dfda/DE102018218845A1.pdf,4
7822,"Method for invoking a teleoperated driving session, apparatus for performing the steps of the method, vehicle and computer progr",KR20210106377A,"EP, US, CN, KR",,Æø½º¹Ù°Õ ¾ÇÆ¼¿£°ÔÁ©»þÇÁÆ®,https://patents.google.com/patent/KR20210106377A/en,2021-08-30,https://patentimages.storage.googleapis.com/c5/25/e2/2b610f1a364e46/KR20210106377A.pdf,4
7823,"
  Autonomous taxi and method for operating an autonomous taxi
",DE102018222664B3,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018222664B3/en,2020-06-04,https://patentimages.storage.googleapis.com/24/ed/4e/e4bb152bf14d4d/DE102018222664B3.pdf,4
7824,"
  Method, computer program and device for a network component for resolving an unplanned traffic situation for a self-driving vehicle.
",DE102020211216B3,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102020211216B3/en,2021-10-28,https://patentimages.storage.googleapis.com/e0/95/67/93d71a8b47dc43/DE102020211216B3.pdf,8
7825,Method and control device for providing feedback to a vehicle occupant,WO2021052610A1,WO,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/WO2021052610A1/en,2021-03-25,https://patentimages.storage.googleapis.com/14/d3/8a/71be51964a9056/WO2021052610A1.pdf,9
7826,"
  Process for the classification of critical driving situations, selection of data similar to the critical driving situation and retraining of the automatic system
",DE102020205315A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102020205315A1/en,2021-10-28,https://patentimages.storage.googleapis.com/07/09/f8/ceead8a4be4ed4/DE102020205315A1.pdf,4
7827,Method and apparatus for automatic driving of vehic,CN112585052A,"WO, US, CN, DE",,ÓÞ?Ñ©?ÍÆ?ÍëÞÉ,https://patents.google.com/patent/CN112585052A/en,2021-03-30,https://patentimages.storage.googleapis.com/5b/83/17/738f1a568e71aa/CN112585052A.pdf,4
7828,"
  Method for operating an at least partially autonomous motor vehicle and motor vehicle
",DE102018220759B4,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018220759B4/en,2020-09-24,https://patentimages.storage.googleapis.com/88/5c/49/d55bd1fc0ddd3e/DE102018220759B4.pdf,4
7829,"
  Autonomous shuttle
",DE102019216775A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019216775A1/en,2021-05-06,https://patentimages.storage.googleapis.com/0c/9d/91/516bdafbeb5b62/DE102019216775A1.pdf,3
7830,"Method for dynamic context-based distribution of software in a vehicle control system, and a control syst",US20210188294A1,"US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US20210188294A1/en,2021-06-24,https://patentimages.storage.googleapis.com/f3/08/7e/dcfbcff74f8876/US20210188294A1.pdf,3
7831,"
  Autonomous vehicle with examination device and medical device
",DE102020207778A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102020207778A1/en,2021-12-23,https://patentimages.storage.googleapis.com/32/94/9a/1511298918f172/DE102020207778A1.pdf,3
7832,"Method, computer program and apparatus for invoking a tele-operated driving session",WO2021204777A1,"WO, EP",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/WO2021204777A1/en,2021-10-14,https://patentimages.storage.googleapis.com/f9/7f/4a/de3ce8173ed770/WO2021204777A1.pdf,6
7833,"
  Method for operating a vehicle with several predetermined steering semi-automatic modes and non-steering semi-automatic modes, as well as a vehicle guidance system
",DE102019208136A1,"EP, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019208136A1/en,2020-12-10,https://patentimages.storage.googleapis.com/b1/e9/a1/69057bc50a0f60/DE102019208136A1.pdf,6
7834,Determination Of Authorizations When Approaching Locations With An Autonomous Vehic,US20210086794A1,"EP, US, CN, IL",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US20210086794A1/en,2021-03-25,https://patentimages.storage.googleapis.com/bc/30/62/8ea2295a9060a6/US20210086794A1.pdf,6
7835,"System, method, and components providing compressive active range sampling",WO2020142675A1,"WO, EP, CN",,"Volkswagen Group Of America, Inc.",https://patents.google.com/patent/WO2020142675A1/en,2020-07-09,https://patentimages.storage.googleapis.com/c1/52/72/03e3061f4da437/WO2020142675A1.pdf,5
7836,"
  Parking system for vehicles
",DE102019208581A1,"EP, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019208581A1/en,2020-12-17,https://patentimages.storage.googleapis.com/84/dc/a1/385718e95ac1c9/DE102019208581A1.pdf,9
7837,"
  Communication process between an autonomously driving vehicle and a locking system and an autonomously driving vehicle
",DE102019204617A1,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019204617A1/en,2020-10-01,https://patentimages.storage.googleapis.com/51/86/67/e5e53e04d9cb55/DE102019204617A1.pdf,4
7838,High-precision positioning method and system for automatic driving vehic,CN112710301A,CN,,ß¾Ñ©ÓÞ?Ñ©?êóùÚÍëÞÉ,https://patents.google.com/patent/CN112710301A/en,2021-04-27,https://patentimages.storage.googleapis.com/71/3d/bd/7230e85e6eeb41/CN112710301A.pdf,4
7839,"Method, device, and computer program for determining multiple traffic situations",JP2020113272A,"EP, US, CN, JP, KR",,«Õ«©«ë«¯«¹«ô«¡?«²«ó «¢«¯«Á«¨«ó«²«¼«ë«·«ã«Õ«È£Ö£ï£ì£ë£ó£÷£á£ç£å£î £Á£ë£ô£é£å£î£ç£å£ó£å£ì£ì£ó£ã£è£á£æ£ô,https://patents.google.com/patent/JP2020113272A/en,2020-07-27,https://patentimages.storage.googleapis.com/79/47/34/47ad868b79f4d1/JP2020113272A.pdf,4
7840,"
  Method for operating a self-driving vehicle
",DE102019209707A1,"CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019209707A1/en,2021-01-07,https://patentimages.storage.googleapis.com/93/d8/c4/9b7cb9d2870d1c/DE102019209707A1.pdf,6
7841,"
  Method for operating a service station for a vehicle and system for carrying out the method according to the invention
",DE102019206920A1,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019206920A1/en,2020-11-19,https://patentimages.storage.googleapis.com/f2/16/46/924c9f7c7fef01/DE102019206920A1.pdf,6
7842,"
  Method for mounting wheels on an autonomously driving vehicle
",DE102020207312A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102020207312A1/en,2021-12-16,https://patentimages.storage.googleapis.com/9e/fb/55/9f39d8e6f2361a/DE102020207312A1.pdf,5
7843,"
  Method for cleaning the seats of a vehicle, service station for cleaning the seats of a vehicle and vehicl",DE102019208133A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019208133A1/en,2020-12-10,https://patentimages.storage.googleapis.com/27/19/b1/211503d9d21705/DE102019208133A1.pdf,5
7844,Method for stopping a self-driving vehic,US20210163042A1,"US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US20210163042A1/en,2021-06-03,https://patentimages.storage.googleapis.com/ab/84/3e/93c60ef0de0c61/US20210163042A1.pdf,5
7845,Service station for cleaning a vehicle window and method for operating the service station,EP3736182B1,"EP, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP3736182B1/en,2021-12-29,https://patentimages.storage.googleapis.com/7e/90/81/559c85d612720c/EP3736182B1.pdf,5
7846,"
  Method for dynamic context-based distribution of software in a control system of a vehicle and a control syste",DE102019220162A1,"US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019220162A1/en,2021-06-24,https://patentimages.storage.googleapis.com/92/8a/2d/e05bf4ab878fbc/DE102019220162A1.pdf,5
7847,"
  Method for cleaning the interior of a vehicle, service station for cleaning the interior of a vehicle and vehicl",DE102019207627A1,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019207627A1/en,2020-11-26,https://patentimages.storage.googleapis.com/d8/16/13/ee102c2a07fe8a/DE102019207627A1.pdf,5
7848,"
  Method for automated driving of motor vehicles
",DE102019200986A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019200986A1/en,2020-07-30,https://patentimages.storage.googleapis.com/9f/e3/8b/d9870bf7b48044/DE102019200986A1.pdf,5
7849,Method and device for promoting driving safety of vehicle,WO2021104833A1,"WO, CN",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/WO2021104833A1/en,2021-06-03,https://patentimages.storage.googleapis.com/23/95/91/12c2430917bbaa/WO2021104833A1.pdf,6
7850,"Method for planning a coordinated driving maneuver, corresponding control unit and vehicle equipped with a control unit, and computer progr",CN113264058A,"EP, CN",,ÓÞ?Ñ©?ÍÆ?ÍëÞÉ,https://patents.google.com/patent/CN113264058A/en,2021-08-17,https://patentimages.storage.googleapis.com/5b/56/54/5b49d0aa4bdd0c/CN113264058A.pdf,6
7851,"
  Method for communicating an autonomously driving motor vehicle with at least one other road user
",DE102017216934A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102017216934A1/en,2019-03-28,https://patentimages.storage.googleapis.com/cd/4e/80/b98722b409fc63/DE102017216934A1.pdf,10
7852,"
  Driver assistance system for providing environmental data for a motor vehicle
",DE102019219757A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019219757A1/en,2021-06-17,https://patentimages.storage.googleapis.com/c5/fd/63/8f045df306580d/DE102019219757A1.pdf,6
7853,System and method for measuring relative time of camera and laser radar in automatic driving syst,CN112578367A,CN,,ß¾Ñ©ÓÞ?Ñ©?êóùÚÍëÞÉ,https://patents.google.com/patent/CN112578367A/en,2021-03-30,https://patentimages.storage.googleapis.com/16/d8/53/18812f0fbf0439/CN112578367A.pdf,6
7854,"
  Parking robot for a motor vehicle, method for operating such a parking robot and motor vehicle
",DE102018221165A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102018221165A1/en,2020-06-10,https://patentimages.storage.googleapis.com/57/67/93/7d098489215d07/DE102018221165A1.pdf,6
7855,"
  Method for operating a motor vehicle and service station for a vehicle
",DE102019206994A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019206994A1/en,2020-11-19,https://patentimages.storage.googleapis.com/93/5c/9d/b68a8d6ff6d751/DE102019206994A1.pdf,11
7856,"
  Method, computer program, vehicle, network component and device for generating or storing information about compliance with current traffic rules
",DE102020205727A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102020205727A1/en,2021-11-11,https://patentimages.storage.googleapis.com/1f/fd/3c/f935c4b8b715da/DE102020205727A1.pdf,4
7857,"
  Display device and method for operating a display device
",DE102020203428A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102020203428A1/en,2021-09-23,https://patentimages.storage.googleapis.com/84/e4/61/1902e212ab13db/DE102020203428A1.pdf,5
7858,Process and system for supporting an autonomous vehic,US20200166947A1,"EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US20200166947A1/en,2020-05-28,https://patentimages.storage.googleapis.com/48/43/a0/69a73850006307/US20200166947A1.pdf,5
7859,"
  Method for checking a transport trip of a user with an autonomously driving vehicle, as well as electronic management system
",DE102020203813A1,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102020203813A1/en,2021-09-30,https://patentimages.storage.googleapis.com/38/5e/16/858930a6727ccd/DE102020203813A1.pdf,3
7860,"
  Method and device for operating a visual interface between a vehicle and a vehicle occupant
",DE102020201519A1,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102020201519A1/en,2021-08-12,https://patentimages.storage.googleapis.com/24/9c/b5/49afa1744fc729/DE102020201519A1.pdf,5
7861,"
  Cleaning robot for a motor vehicle, service station for cleaning a motor vehicle and method for operating the cleaning robot and the service station
",DE102019206346A1,"WO, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019206346A1/en,2020-11-05,https://patentimages.storage.googleapis.com/70/f0/6c/8a5c9ae3c721d1/DE102019206346A1.pdf,6
7862,Solution for controlling an at least partially autonomous vehicle,EP3664061A1,EP,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/EP3664061A1/en,2020-06-10,https://patentimages.storage.googleapis.com/53/68/34/b48913fa998ee9/EP3664061A1.pdf,6
7863,"
  Classification and temporal recognition of tactical driving maneuvers by road users
",DE102019204187A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019204187A1/en,2020-05-28,https://patentimages.storage.googleapis.com/0a/98/aa/95da69a513df58/DE102019204187A1.pdf,4
7864,"A method, a computer program, an apparatus, a vehicle, and a network entity for predicting a deadlock situation for an automated vehicle",KR20210108895A,"EP, US, CN, KR",,Æø½º¹Ù°Õ ¾ÇÆ¼¿£°ÔÁ©»þÇÁÆ®,https://patents.google.com/patent/KR20210108895A/en,2021-09-03,https://patentimages.storage.googleapis.com/ea/d6/1a/8ba4396fad21ed/KR20210108895A.pdf,4
7865,"
  Method and system for electrically connecting a motor vehicle, in particular an electric motor vehicle or a hybrid electric motor vehicle, to a charging device for electric curren",DE102019216061A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019216061A1/en,2021-04-22,https://patentimages.storage.googleapis.com/19/66/16/e51305853d458d/DE102019216061A1.pdf,4
7866,Vehicle guiding attachme,US20210031734A1,US,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US20210031734A1/en,2021-02-04,https://patentimages.storage.googleapis.com/52/e8/5a/be5290e7937cb5/US20210031734A1.pdf,4
7867,"Method for capturing image material for monitoring image-analysing systems, device and vehicle for use in the method and computer program",WO2020221575A1,WO,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/WO2020221575A1/en,2020-11-05,https://patentimages.storage.googleapis.com/77/d9/eb/c3ca604b094bee/WO2020221575A1.pdf,9
7868,System and method for using global voters using a regional certificate trust list,CN113168483A,"WO, EP, CN",,ÓÞ?Ñ©?ÍÆ?ÍëÞÉ,https://patents.google.com/patent/CN113168483A/en,2021-07-23,https://patentimages.storage.googleapis.com/2b/4e/be/7322e18eee284c/CN113168483A.pdf,9
7869,"System, method, and apparatus for a neural network model for a vehic",US20210073626A1,"WO, US",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/US20210073626A1/en,2021-03-11,https://patentimages.storage.googleapis.com/4a/87/b4/d43cb26fe4e56e/US20210073626A1.pdf,9
7870,"
  Method for carrying out a self-diagnosis in an autonomous vehicle
",DE102017130549A1,"WO, EP, US, CN, DE",,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102017130549A1/en,2019-06-19,https://patentimages.storage.googleapis.com/8b/42/80/6140da8d7e8087/DE102017130549A1.pdf,7
7871,Method and device for operating an autonomous vehic,CN113119994A,"US, CN, DE",,ÓÞ?Ñ©?ÍÆ?ÍëÞÉ,https://patents.google.com/patent/CN113119994A/en,2021-07-16,https://patentimages.storage.googleapis.com/d7/1e/58/dd815eda158de0/CN113119994A.pdf,7
7872,"
  Method for capturing image material for checking image evaluation systems, device and vehicle for use in the method, as well as computer program
",DE102019217642A1,DE,,Volkswagen Aktiengesellschaft,https://patents.google.com/patent/DE102019217642A1/en,2021-05-20,https://patentimages.storage.googleapis.com/32/73/b6/b298ac4850a133/DE102019217642A1.pdf,12
